business_name,email,phone,website,city,state
TL Electric LLC,trebmal41@gmail.com,+19109904460,https://www.tlelectric.co/,Fayetteville,NC
BNA Electric INC,info@bnaelectric.com,+12815773940,http://bnaelectric.com/,Porter,TX
Aimhigh Electricians of Katy,aimhighelectricservices@gmail.com,+12817489700,https://aimhighelectrical.com/,Katy,TX
Kevin Alves Electric LLC,kevinalveselectric@gmail.com,+12032062432,https://www.kevinalveselectric.com/,Newtown,CT
Brand Home Service,info@callbrand.com,+17657327263,https://callbrand.com/,Lafayette,IN
H Electrics,contact@helectrics.us,+13013263926,https://helectrics.us/,Columbia,MD
Connect Electrical Services,contact@myrvaconnect.com,+18045083742,https://callconnectelectric.com/,Richmond,VA
TAP and Sons Electric Inc,thom@tapelectric.com,+14805072900,https://www.tapandsons.com/,Tempe,AZ
"Guaranteed Electric Service, Inc.",office@gesmankato.com,+15073889305,https://gesmankato.com/,Mankato,MN
Silverman Electric LLC,silvermanelectric5@gmail.com,+17194009510,http://silvermanelectric.com/,Peyton,CO
Damyans Electric Inc.,info@damyanselectric.com,+16126441563,https://damyanselectric.com/,Hopkins,MN
Burton Electric LLC,Burtondmechanical@outlook.com,+18434157750,https://burtonmechanicalservices.wordpress.com/,Hilton Head Island,SC
Burton Electric LLC,Burtonjmechanical@outlook.com,+18434157750,https://burtonmechanicalservices.wordpress.com/,Hilton Head Island,SC
Bad Monkey Electric,justin@badmonkeyelectric.com,+14438896047,https://www.badmonkeyelectric.com/,Eldersburg,MD
Bad Monkey Electric,brian@badmonkeyelectric.com,+14438896047,https://www.badmonkeyelectric.com/,Eldersburg,MD
Bad Monkey Electric,steve@badmonkeyelectric.com,+14438896047,https://www.badmonkeyelectric.com/,Eldersburg,MD
Bad Monkey Electric,larry@badmonkeyelectric.com,+14438896047,https://www.badmonkeyelectric.com/,Eldersburg,MD
Bad Monkey Electric,tim@badmonkeyelectric.com,+14438896047,https://www.badmonkeyelectric.com/,Eldersburg,MD
Bad Monkey Electric,admin@badmonkeyelectric.com,+14438896047,https://www.badmonkeyelectric.com/,Eldersburg,MD
Bad Monkey Electric,priscilla@badmonkeyelectric.com,+14438896047,https://www.badmonkeyelectric.com/,Eldersburg,MD
Ford Electric,ford.electric.inc@gmail.com,+13606422137,https://www.fordelectric.us/,Long Beach,WA
Phase Electric LLC,dusty@phaseelectric.org,+12064507793,http://phaseelectric.org/,Post Falls,ID
Safe and Sound Electric,info@safesoundelectric.com,+13606335413,https://safesoundelectric.com/,Suquamish,WA
Light Team Services,service@ltslights.com,+19543302600,https://lightteamservices.com/,Fort Lauderdale,FL
WCI Electric,info@wcielectric.com,+14082422069,https://www.wcielectric.com/,Santa Clara,CA
Northstar Electric LLC,help@northstarelectric.net,+15306480777,http://northstarelectric.net/,Grass Valley,CA
Mash Electric - Emergency Electricians in Houston,sales@mashelectric.us,+18325288639,https://www.mashelectric.us/,Cypress,TX
Mash Electric - Emergency Electricians in Houston,info@mashelectric.us,+18325288639,https://www.mashelectric.us/,Cypress,TX
Grayzer Electric,info@grayzerelectric.com,+15125354120,https://grayzerelectric.com/,Austin,TX
Urban Electric LLC,bnurbanelectricllc@gmail.com,+12569090502,https://www.urbanelectricllc.net/,Madison,AL
Noah O. OHearn - Licensed Electrician Plymouth MA,info@ohearnelectric.com,+17746084442,https://www.ohearnelectric.com/,Plymouth,MA
"Tri-County Electric Service, Inc.",info@tricountyelectricservice.com,+14405420735,https://www.tricountyelectricservice.com/,Garfield Heights,OH
Tri Starr Electric LLC,tristarrelectricnj@gmail.com,+19088543449,https://www.tristarrelectricnj.com/,Plainfield,NJ
Eric's Electrical Services,eheins79@gmail.com,+12392005453,https://www.ericselectricalservices.com/,Bonita Springs,FL
Cory Farrell Electric,info@coryfarrellelectric.com,+15125678875,https://coryfarrellelectric.com/,Kingsland,TX
Selectricity,selectricity@cox.net,+18503467689,https://electricianpensacola.com/,Pensacola,FL
Toth Electric,info@tothelectricllc.com,+19739964696,https://tothelectricllc.com/,Mountainside,NJ
KRAZYNUTZ,email@krazynutz.co,+12028093439,https://www.krazynutz.co/,Unionville,IN
Electrical Master System Corp,electricalmastersystem@gmail.com,+13059519372,https://electricalmastersystem.com/,Hialeah,FL
Laswell Electric Company Inc.,office@lecoinc.com,+15022316326,https://lecoinc.com/,Louisville,KY
Jim Smith Electric,jssolarelectric@yahoo.com,+17144692110,http://jimsmithelectric.com/,Trabuco Canyon,CA
Sloan Electric LLC,info@sloanelectricllc.com,+18322268151,http://sloanelectricllc.com/,Los Angeles,CA
GB Electric LLC,baezgabriel39@gmail.com,+16105089525,https://gbelectricpa.com/,Whitehall,PA
"Just Electric | 24/7 Licensed Electricians in Glendora and Covina, CA",contact@justelectricservices.com,+16266259021,https://justelectricservices.com/,Covina,CA
Florida Electrical & Fire Alarm LLC Electrician of Deerfield Beach (Florida Alarma eléctrica y contra incendios LLC),info@florida-electrical.com,+15615523753,https://floridaelectricalandfirealarm.com/,Deerfield Beach,FL
Philip Michael LLC Electrical & Lighting Contractor,PhilipMichael@philipmichael.com,+15703513050,https://philipmichael.com/,Lake Ariel,PA
Sun State Power LLC,travis@sunstatepower.com,+13522898165,https://sunstatepower.com/,Summerfield,FL
CSE Electric,sales@csetx.com,+12105906629,https://csetx.com/,San Antonio,TX
Wisconsin Electric LLC,info@wi-electric.com,+16084772325,https://wi-electric.com/,Wisconsin Dells,WI
KCL Electric,service@kclelectric.com,+12404463388,https://kclelectric.com/,Mt Airy,MD
Loria Electrical Services,info@loriaelectric.com,+15852257742,http://loriaelectric.com/,Rochester,NY
Northern Lights Electric,service@northernlightselectric.com,+18009449251,https://www.northernlightselectric.com/,North Attleborough,MA
BrightWire Electrical Solutions,letsgetyouwired@gmail.com,+19793997977,https://getbrightwire.com/,Montgomery,TX
Infinite Electric & Air,info@infinitefl.com,+12392843446,https://infinitefl.com/,North Fort Myers,FL
"Goods Electric, Heating & Air",service@goodhomecomfort.com,+13308455782,https://www.goodhomecomfort.com/,Youngstown,OH
T&M Electric Inc.,Mitch@tmelectricnd.com,+17014005744,https://tmelectricnd.com/,Bismarck,ND
O'Neill Electric Inc.,scheduling@oneillelectricmn.com,+16513420906,https://www.oneillelectricmn.com/,Stillwater,MN
Flavin Electric LLC,scott@flavinelectric.com,+13128152855,https://flavinelectric.com/,Chicago,IL
Nipper Electric Inc,info@nipperelectric.com,+17578421710,https://nipperelectric.com/,Virginia Beach,VA
Craig's Electrical and Generator Service,info@craigselectrical.com,+15046771023,https://craigselectrical.com/,Kenner,LA
Arket Electric and Generator,ae@arketelectric.com,+15183818818,https://arketelectric.com/,Schenectady,NY
Can-Duit Electric LLC,canduitelectric@gmail.com,+18152348889,https://www.can-duitelectric.net/,Rockford,IL
Electrical Connections LLC,service@electricalconnectionsllc.com,+12404100343,https://www.electricalconnectionsllc.com/,Gaithersburg,MD
Spring Electric & A/C,info@springelectricactx.com,+12817479990,https://www.springelectricactx.com/,Houston,TX
"Meyer Electric, Inc.",management@meyerelectricinc.net,+19897209472,https://www.meyerelectricinc.net/,Owosso,MI
D & J Electric Inc,djelectric@djelec.net,+19705229407,https://www.djelecinc.com/,Sterling,CO
Married 2 Electric,married2electric@gmail.com,+16104261865,https://www.married2electric.com/,Pottstown,PA
Terrapin Electric,info@terrapinelectric.com,+15126654857,https://terrapinelectric.com/,Austin,TX
Terrapin Electric,info@terrapinelectric.com,+15126654857,https://terrapinelectric.com/,Schertz,TX
"Valentine Electric, Inc.",info@electric747.com,+18453981339,https://www.valentine-electric.com/,Blauvelt,NY
Kelly Electric Company Inc.,service@kellyelectriccoinc.com,+14844545494,https://kellyelectriccoinc.com/,Media,PA
All Electric Inc,info@allelectricinc.com,+13305748889,https://allelectricinc.com/,Cortland,OH
Ritch Electric Co Inc.,betsy@ritchelectric.com,+17063226825,https://www.ritchelectric.com/,Columbus,GA
Ritch Electric Co Inc.,darryl@ritchelectric.com,+17063226825,https://www.ritchelectric.com/,Columbus,GA
Li Electric of TN,Mario@lielectricinc.com,+16152671223,https://www.lielectricinc.com/,Lewisburg,TN
Mohs Electric,mohselectricoffice@gmail.com,+12182351552,https://www.mohselectric.com/,Plymouth,MN
"Echo Electrical Services, Inc.",Brandon@echoelectricalservices.com,+18177665995,https://echoelectricalservices.com/,Pantego,TX
Toner Electric Company,frank@tonerelectric.com,+14018470993,https://www.tonerelectric.com/,Middletown,RI
Toner Electric Company,scott@tonerelectric.com,+14018470993,https://www.tonerelectric.com/,Middletown,RI
Touchstone Electric,info@touchstoneelectric.com,+18555022244,https://touchstoneelectric.com/,Matthews,NC
Rethink Electric,info@rethinkelectric.com,+16307474587,https://rethinkelectric.com/,Wood Dale,IL
Touchstone Electric,info@touchstoneelectric.com,+18555022244,https://touchstoneelectric.com/,Columbia,SC
Touchstone Electric,info@touchstoneelectric.com,+18555022244,https://touchstoneelectric.com/,Taylors,SC
Touchstone Electric - Raleigh,info@touchstoneelectric.com,+18555022244,https://touchstoneelectric.com/,Raleigh,NC
AMERICAN ELECTRICAL INNOVATIONS LTD.,cam@aeinnovations.co,+19706852809,http://aeinnovations.co/,Wellington,CO
Bergey's Electric,info@bergeyselectric.com,+12157235518,https://bergeyselectric.com/,Hatfield,PA
Big 3 Electric,big3electric@gmail.com,+19103398022,https://www.big3electric.com/,Fayetteville,NC
JaxPowerPro,office@jaxpowerpro.com,+19046897572,https://jaxpowerproelectricians.com/,Jacksonville,FL
"Vanguard Electrical Contractors, Inc",info@vanguardelectrical.com,+19042324018,https://vanguardelectricalcontractors.com/,Jacksonville,FL
Fitch Electric,info@fitchelectric.com,+19256848932,http://fitchelectric.com/,Pleasanton,CA
Pulse Industrial Electric Inc,Bamezcua4@gmail.com,+15625693967,https://pulseindustrialelectric.com/,Norwalk,CA
Pulse Industrial Electric Inc,Carlos@pulseindustrialelectric.com,+15625693967,https://pulseindustrialelectric.com/,Norwalk,CA
Nieves Electric,nieveselectric@icloud.com,+16176206809,https://nieveselectricllc.com/,Boylston,MA
Ideal Electrical Contractors Inc.,idealelectricalcontractors@gmail.com,+16309345020,http://idealelectricalcontractor.com/,St. Charles,IL
iConduit Electric,nick@iconduitelectric.com,+17088315136,https://iconduitelectric.com/,Chicago,IL
iConduit Electric,office@iconduitelectric.com,+17088315136,https://iconduitelectric.com/,Chicago,IL
Anderson Electrical LLC,info@andersonelectricalkc.com,+18164379000,https://www.andersonelectricalkc.com/,Kansas City,MO
J L Taylor Company Inc.,service@jltaylorcompany.com,+14408341223,http://jltaylorcompany.com/,Middlefield,OH
Finch Electric,Jay@finchelectric.com,+18014000660,https://finchelectric.com/,Elk Ridge,UT
First Class Electric,info@firstclasselectricnj.com,+19083251777,http://firstclasselectricnj.com/,Cranford,NJ
"Gator Electric and Communications, Inc.",service@gatorelectric.us,+15616418100,https://www.gatorelectric.com/,Lake Worth Beach,FL
Estevez Electric LLC,Christopher1990Estevez@gmail.com,+14848382763,https://estevezelectricllc.com/,Catasauqua,PA
Jericho Electric,jerry@jerichoelectric.com,+14173002702,https://jerichoelectric.com/,Nixa,MO
Northwestern Electric Inc.,northwestern@srt.com,+17012637540,https://northwestern-electric.com/,Minot,ND
Schumann Electric,info@schumannelectric.com,+16102694136,https://www.schumannelectric.com/,Downingtown,PA
Epic Electric NWA,hadley@epicelectricnwa.com,+14794403742,https://epicelectricnwa.com/,Bella Vista,AR
Electrical Pros,info@electricalpros.com,+17708222150,https://electricalpros.com/,Braselton,GA
Flores Electric,info@floreselectric.com,+14088998450,http://floreselectric.net/,Santa Clara,CA
Groppi Electric,groppielectric@gmail.com,+14402120743,https://www.groppielectric.com/,Sagamore Hills,OH
"Antoine Electric, Inc.",service@antoineelectric.com,+12189275637,https://antoineelectric.com/,Aitkin,MN
KB Electric LLC,office@kbelectric.org,+13184596041,http://kbelectric.org/,Bossier City,LA
"Traveling Brothers Electric, Inc.",travelingbrotherselectric@gmail.com,+12086433989,https://www.travelingbrotherselectric.com/,Blackfoot,ID
Plugged In Electrical,hello@pluggedinatlanta.com,+14042779708,https://pluggedinatl.com/,Tyrone,GA
LCX Energy,lcxenergy@lcxenergy.co,+15103934038,https://www.lcxenergy.co/,Concord,CA
First Class Electric,info@firstclasselectricnj.com,+19083251777,http://firstclasselectricnj.com/,Old Bridge,NJ
Albatross Electric Company,Albatrosselectric@gmail.com,+16265600400,https://www.albatrosselectric.com/,Alhambra,CA
Fann Electric Services,admin@fannelectric.com,+18643637028,https://www.fannelectric.com/,Simpsonville,SC
Executive Electric LLC,residential@thorntonelectrianservice.com,+17204221184,https://thorntonelectricianservice.com/,Thornton,CO
Blue Streak Lighting & Electric,service@bluestreaklighting.com,+18664369995,http://bluestreaklighting.com/,Sunnyvale,CA
"LeGrande Electric Inc.,",LEGRANDELECTRIC@yahoo.com,+14065796404,https://legrandeelectric.com/,Townsend,MT
All Lights Electrical Service,AllLightsElectricalService@gmail.com,+19515458822,https://www.alllightselectricalservice.com/,Riverside,CA
"Super Power Electric, Heat & Air",call@superpowerelectricnj.com,+17326558487,http://superpowerelectricnj.com/,Red Bank,NJ
"Maverick Electric, Plumbing, Heating and Air",service@maverickelectricalservices.com,+19162521206,https://maverickelectricalservices.com/,Roseville,CA
Manny Source Electric Corp,mannysource01@gmail.com,+17862992168,http://mannysourceelectric.com/,Miami,FL
"Collaborative Services, LLC",RDahlberg@csllc-tx.com,+19362282916,https://collaborativeservicestx.com/,New Waverly,TX
Esposito's Electric,info@espositoelectric.com,+19733669902,https://www.espositoelectric.com/,Denville,NJ
Milk Electrical,info@milkelectrical.com,+18184797994,https://milkelectrical.com/,Agoura Hills,CA
Miller's Electrical,office@millerselectrical.org,+13604028881,https://millerselectricalwa.co/,Olympia,WA
AA Action Electric,aaactionelectric@yahoo.com,+12394712797,https://aaactionelectric.com/,Fort Myers,FL
Axiom Electrical Services,axiom.wiring@gmail.com,+19894358851,https://axiomelectricalservices.com/,Beaverton,MI
Standard Electric,customersupport@standardelectric.com,+19786611854,https://www.standardelectric.com/,Wilmington,MA
Williams Electric & HVAC,info@williamselectrichvac.com,+18175235353,https://www.williamselectrichvac.com/,Springtown,TX
AEY Power Solutions LLC,info@aeysolutions.com,+12606001222,https://www.aeysolutions.com/,Fort Wayne,IN
Speedy Services Group Corp.,peter@gospeedyservices.com,+18478344269,https://gospeedyservices.com/,Niles,IL
Woodhollow Contracting Corp,info@woodhollowdesigns.com,+15168275916,https://www.woodhollowdesigns.com/,Lindenhurst,NY
Carolina Electric Pro’s,office@carolinaelectricpros.com,+17044524973,http://carolinaelectricpros.com/,Charlotte,NC
Vecor - Velocity Electric Corp,info@velocityelectric.com,+13607345093,https://www.velocityelectric.com/,Bellingham,WA
MK Electric,info@mkelectricalatl.com,+16788417680,https://mkelectricalatl.com/,Dallas,GA
Novotny Electric LLC,don@novotnyelectricllc.com,+19704822834,https://novotnyelectricllc.com/,Fort Collins,CO
