business_name,email,phone,website,city,state
BSA CareXpress Urgent Care Summit,billing@fmclp.com,+18063508900,https://www.carexpressurgentcare.com/,Amarillo,TX
BSA CareXpress Urgent Care Summit,info@fmclp.com,+18063508900,https://www.carexpressurgentcare.com/,Amarillo,TX
BSA CareXpress Urgent Care Summit,occmedandworkcompbilling@fmclp.com,+18063508900,https://www.carexpressurgentcare.com/,Amarillo,TX
Morehead Urgent Care West,rhnews@unchealth.unc.edu,+13366239711,https://www.uncrockingham.org/,Mayodan,NC
Express Emergency Room Waco,waco@expressemergencyroom.com,+12542946500,https://expresserwaco.com/,Waco,TX
DOCS Urgent Care & Primary Care - Branford,contact@docsmedicalgroup.com,+12038743682,https://docsmedicalgroup.com/,Branford,CT
DOCS Urgent Care & Primary Care - Branford,careers@docsmedicalgroup.com,+12038743682,https://docsmedicalgroup.com/,Branford,CT
DOCS Urgent Care & Primary Care - Branford,billing@docsmedicalgroup.com,+12038743682,https://docsmedicalgroup.com/,Branford,CT
DOCS Urgent Care & Primary Care - Branford,hr@docsmedicalgroup.com,+12038743682,https://docsmedicalgroup.com/,Branford,CT
DOCS Urgent Care & Primary Care - Branford,contact@docsofct.com,+12038743682,https://docsmedicalgroup.com/,Branford,CT
Jackson Urgent Care Clinic,admin@jacksonuc.com,+15175138269,https://www.jacksonuc.com/,Jackson,MI
Emergency Physicians Medical Center,medicalrecords@emergencypmc.com,+13527277756,https://www.emergencypmc.com/,Gainesville,FL
Emergency Physicians Medical Center,epmc@emergencypmc.com,+13527277756,https://www.emergencypmc.com/,Gainesville,FL
Emergency Physicians Medical Center,billing@emergencypmc.com,+13527277756,https://www.emergencypmc.com/,Gainesville,FL
Express Emergency Room Temple,info@expressemergencyroom.com,+12544355900,https://expressertemple.com/,Temple,TX
Newport Center Urgent Care,frontdesk@newportbeachuc.com,+19497608300,https://newportbeachuc.com/,Newport Beach,CA
"Concur Urgent & Primary Care Clinic - Norcross, GA",physicians@concururgentcare.com,+14708220101,https://concururgentcare.com/,Norcross,GA
Jackson Urgent Care Clinic,admin@jacksonuc.com,+15175138269,https://www.jacksonuc.com/,Jackson,MI
"enTrust Immediate Care - Memorial Drive, Houston, TX",info@entrustcare.com,+17134687845,https://entrustcare.com/,Houston,TX
BLUE WATER URGENT CARE FORT GRATIOT,admin@bluewateruc.com,+18108829373,https://bluewateruc.com/,Fort Gratiot Twp,MI
Manchester Urgent Care,frontdesk@manchesteruc.com,+18669417210,https://www.urgent-care-los-angeles.com/,Los Angeles,CA
