business_name,email,phone,website,city,state
"Blue Skies Psychological Services, P.C.",info@blueskiespsychological.com,+13474645550,https://blueskiespsychological.com/,Staten Island,NY
Sabin Behavioral Health,office@wardtoday.com,+16152694990,https://sabintn.com/,Lebanon,TN
Sabin Behavioral Health,office@wardtoday.com,+16152694990,https://sabintn.com/,Smyrna,TN
"Rawles & Associates, PLC",David@rawlesassoc.com,+17574932912,https://rawlespsych.com/,Chesapeake,VA
Hartford Counseling,referrals@lifespanpsychologicalservices.com,+12627657977,https://www.lifespanpsychologicalservices.com/,Hartford,WI
Fox River Counseling with Lifespan Psychological Services,referrals@lifespanpsychologicalservices.com,+12627657977,https://www.lifespanpsychologicalservices.com/,Waukesha,WI
LifeSpan Psychological Services & The Matthew Project,referrals@lifespanpsychologicalservices.com,+12627657977,https://www.lifespanpsychologicalservices.com/,Milwaukee,WI
Sterling Behavioral Health Services,intakes@sbhsva.com,+17038589841,https://www.sbhsva.com/,Ashburn,VA
Sterling Behavioral Health Services,frontdesk@sbhsva.com,+17038589841,https://www.sbhsva.com/,Ashburn,VA
Sterling Behavioral Health Services,medications@sbhsva.com,+17038589841,https://www.sbhsva.com/,Ashburn,VA
Sterling Behavioral Health Services,billing@sbhsva.com,+17038589841,https://www.sbhsva.com/,Ashburn,VA
Course Counseling,admin@coursecounseling.life,+18019013330,https://www.coursecounseling.life/,Spanish Fork,UT
Handel Behavioral Health Therapy & Psychiatry Natick,clientcare@hbhtherapy.com,+16172096929,https://hbhtherapy.com/,Natick,MA
Handel Behavioral Health Therapy & Psychiatry Natick,lizhandel@hbhtherapy.com,+16172096929,https://hbhtherapy.com/,Natick,MA
Handel Behavioral Health Therapy & Psychiatry Franklin,clientcare@hbhtherapy.com,+16172096929,https://hbhtherapy.com/,Franklin,MA
Handel Behavioral Health Therapy & Psychiatry Franklin,lizhandel@hbhtherapy.com,+16172096929,https://hbhtherapy.com/,Franklin,MA
Handel Behavioral Health Therapy & Psychiatry Amherst,clientcare@hbhtherapy.com,+16172096929,https://hbhtherapy.com/,Amherst,MA
Handel Behavioral Health Therapy & Psychiatry Amherst,lizhandel@hbhtherapy.com,+16172096929,https://hbhtherapy.com/,Amherst,MA
Mukwonago Counseling of LifeSpan Psychological Services,referrals@lifespanpsychologicalservices.com,+12627657977,https://www.lifespanpsychologicalservices.com/,Mukwonago,WI
Falls Counseling of LifeSpan Psychological Services,referrals@lifespanpsychologicalservices.com,+12627657977,https://www.lifespanpsychologicalservices.com/,Germantown,WI
Handel Behavioral Health Therapy & Psychiatry West Springfield,clientcare@hbhtherapy.com,+16172096929,https://hbhtherapy.com/,West Springfield,MA
Handel Behavioral Health Therapy & Psychiatry West Springfield,lizhandel@hbhtherapy.com,+16172096929,https://hbhtherapy.com/,West Springfield,MA
Blossom Valley Behavioral Health,support@blossomvalleybh.com,+15092535881,https://blossomvalleybh.com/,Wenatchee,WA
West Bend Counseling,referrals@lifespanpsychologicalservices.com,+12627657977,https://www.lifespanpsychologicalservices.com/,West Bend,WI
Second Chance Behavioral Health,csaundersscbh@gmail.com,+12525149888,https://secondchancebehaviorhealth.com/,New Bern,NC
Rockwell Behavioral Health,lhaynes@rockwellbehavioralhealth.com,+17737561733,https://www.rockwellbehavioralhealth.com/,Chicago,IL
Rockwell Behavioral Health,ealderson@rockwellbehavioralhealth.com,+17737561733,https://www.rockwellbehavioralhealth.com/,Chicago,IL
Rockwell Behavioral Health,asantiago@rockwellbehavioralhealth.com,+17737561733,https://www.rockwellbehavioralhealth.com/,Chicago,IL
Rockwell Behavioral Health,jday@rockwellbehavioralhealth.com,+17737561733,https://www.rockwellbehavioralhealth.com/,Chicago,IL
Rockwell Behavioral Health,vfombelle@rockwellbehavioralhealth.com,+17737561733,https://www.rockwellbehavioralhealth.com/,Chicago,IL
Rockwell Behavioral Health,tchatman@rockwellbehavioralhealth.com,+17737561733,https://www.rockwellbehavioralhealth.com/,Chicago,IL
Rockwell Behavioral Health,mepkins@rockwellbehavioralhealth.com,+17737561733,https://www.rockwellbehavioralhealth.com/,Chicago,IL
Rockwell Behavioral Health,bmitchell@rockwellbehavioralhealth.com,+17737561733,https://www.rockwellbehavioralhealth.com/,Chicago,IL
Handel Behavioral Health Therapy & Psychiatry Wilbraham,clientcare@hbhtherapy.com,+16172096929,https://hbhtherapy.com/,Wilbraham,MA
Handel Behavioral Health Therapy & Psychiatry Wilbraham,lizhandel@hbhtherapy.com,+16172096929,https://hbhtherapy.com/,Wilbraham,MA
LifeSpan Psychological Services,referrals@lifespanpsychologicalservices.com,+12627657977,https://www.lifespanpsychologicalservices.com/,Brookfield,WI
Universal Community Services Inc,office@universalcommunityservices.com,+17867033924,http://universalcommunityservices.com/,Hialeah,FL
Hard Knox Behavioral Health,info@hardknoxbh.com,+17407480400,https://hardknoxbh.com/,Danville,OH
Professional Psychological Services,info@professionalpsych.com,+17038792483,https://www.professionalpsych.com/,Reston,VA
Pamlico River Behavioral Health,info@prbhealth.net,+12529401611,https://www.prbhealth.net/,Washington,NC
Serenity Behavioral Health LLC,rfulton@serenitybehaviorhealth.com,+14439614702,https://www.serenitybhllc.com/,Baltimore,MD
Saafi Behavioral Health Services LLC,intake@saafibh.com,+15072584220,https://www.saafibh.com/,Rochester,MN
Saafi Behavioral Health Services LLC,info@saafibh.com,+15072584220,https://www.saafibh.com/,Rochester,MN
"Breakthroughs Psychological Services, LLC",info@breakthroughspsycservices.com,+12407093029,http://breakthroughspsycservices.com/,Crofton,MD
A Glorious Behavioral Health,info@gloriousmentalclinic.com,+14106962645,http://gloriousmentalclinic.com/,Ellicott City,MD
J R Moore & Associates | Counseling & Psychological Services,jrmooreassociates@gmail.com,+12059576601,http://jrmooreassociates.com/,Bessemer,AL
South Shore Counseling & Psychological Services,albross@southshorecaps.com,+17817386226,https://southshorecaps.com/,Hingham,MA
Bard Behavioral Health,info@bardbehavioralhealth.com,+16465057099,https://www.bardbehavioralhealth.org/,East Rutherford,NJ
"Capitan Therapy & Behavioral Health, LLC",capitantherapybehavioralhealth@gmail.com,+15052730982,https://www.capitantherapy.com/,Ruidoso,NM
Irby Psychological Services — Southaven,frontdesk@irbypsychservices.net,+16622280130,https://irbypsychservices.net/,Southaven,MS
"Available Mental Health Services, LLC",admin@availablemhs.org,+17572237810,https://www.availablemhs.org/,Newport News,VA
TrueCandor Behavioral Health (Formerly Begin Again Counseling Services),support@truecandor.com,+18134193386,https://truecandor.com/,Tampa,FL
"Connected Therapy LLC (Megan Hall, LCSW)",megan@connectedtherapyllc.com,+17205153904,https://connectedtherapyllc.com/,Denver,CO
TrueCandor Behavioral Health (Formerly Begin Again Counseling Services),support@truecandor.com,+18134193386,https://truecandor.com/,Riverview,FL
Delaware Psychological Services,info@dps-wellness.com,+13028274856,https://www.delawarepsychologicalservices.com/,Lewes,DE
Genesis Behavioral Health,intake@gbh.health,+12104049696,https://genesisbehavioralhealth.org/,San Antonio,TX
"Wright Psychological Services, PLC",dwrightlpc@wrightpsych.net,+15406882199,https://wrightpsych.net/,Staunton,VA
"Buckingham & Associates, PC",mail@buckinghampsych.com,+13172889942,https://www.buckinghampsych.com/,Indianapolis,IN
Behavioral Health Consultants,hello@bhcnevada.com,+17025309171,https://bhcnevada.com/,Las Vegas,NV
Behavioral Health Consultants,gilloarnold@bhcnevada.com,+17025309171,https://bhcnevada.com/,Las Vegas,NV
"Miles Psychological Services, LLC",DrMiles@milespsychology.com,+13202474737,https://www.milespsychology.com/,St Cloud,MN
Kindred Spirit Behavioral Health,info@kindredspiritbh.org,+12344660445,https://www.kindredspiritbh.org/,Akron,OH
ReMind Behavioral Health Services,remindbhs.ny@gmail.com,+17165078200,https://remindbhs.com/,Olean,NY
DCBHS,info@dc4bhs.com,+17035427770,https://www.dc4bhs.com/,South Riding,VA
United Community Solutions LLC | Behavioral Health & Wellness Center,info@unitedcommunitysolution.com,+17574102644,https://unitedcommunitysolution.com/,Chesapeake,VA
"G.R.O.W.T.H Counseling and Therapy, LLC",Growthllc@growthcounselingandtherapy.com,+17863205559,https://www.growthcounselingandtherapy.com/,North Miami Beach,FL
Mind Renewal Behavioral Health Services,mindrenewalbhs@gmail.com,+17194652582,https://www.mindrenewalbhs.org/,Colorado Springs,CO
The Child and Family Wellness Center,info@childandfamilywellnesscenter.com,+18887637272,https://www.thechildandfamilywellnesscenter.com/,Boston,MA
"Behavioral Health Affiliates, LLC",bha84@verizon.net,+17813930009,https://behavioralhealthaffiliates.com/,Medford,MA
"Prime Behavioral Health, LLC",lacey@carebyprime.com,+16148336900,https://carebyprime.com/,Lancaster,OH
Daybreak,ASchmigel@daybreakbehavior.com,+14026142242,https://daybreakbehavior.com/,Omaha,NE
TheraCorp Behavioral Health,info@theracorpclinic.com,+17325618555,https://theracorpclinic.com/,Fairfield,NJ
"Grace Behavioral Health, Psychotherapy and Counseling",info@gracebehavioralhealth.org,+19086525311,https://www.gracebehavioralhealth.org/,Belvidere,NJ
"Compass Counseling and Behavioral Health, LLC",AshleeWeber@compasscounselingdbq.com,+15635644114,https://compasscounselingdbq.com/,Dubuque,IA
"Compass Counseling and Behavioral Health, LLC",MeganAmos@compasscounselingdbq.com,+15635644114,https://compasscounselingdbq.com/,Dubuque,IA
"Compass Counseling and Behavioral Health, LLC",CandiceCox@compasscounselingdbq.com,+15635644114,https://compasscounselingdbq.com/,Dubuque,IA
Westbrook Psychological Services,info@wpstherapy.com,+19164363580,https://www.wpstherapy.com/,Carmichael,CA
Brightside Behavioral Health,info@bbhri.com,+14017733700,https://brightsidebehavioralhealth.com/,Johnston,RI
Monarch Behavioral Health,monarchbehavioral@gmail.com,+15612031018,https://monarchbehavioralhealth.net/,Greenacres,FL
Bay Coast Behavioral,info@baycoastbehavioral.com,+17818176054,https://www.baycoastbehavioral.com/,Fall River,MA
"Identity Behavioral Health Services, LLC",info@identitybhs.net,+18703957188,https://identitybhs.net/,Pine Bluff,AR
Hinsdale Behavioral Health Clinic,hinsdalebehavioral@att.net,+16309201796,https://hinsdalebhc.com/,Hinsdale,IL
Behavioral Health Solutions,outpatient@bhs.health,+17025894871,https://bhs.health/,Henderson,NV
Behavioral Health Solutions,outpatient@bhs.health,+17025894871,https://bhs.health/,Tempe,AZ
A Core Connection,info@acoreconnection.com,+14077892673,https://www.acoreconnection.com/,Orlando,FL
"Living and Looking Within Counseling & Play Therapy, MSW, LCSW, RPT-S, CCS",Ninatknight@gmail.com,+18482160471,https://www.livingandlookingwithin.com/,Woodbridge,NJ
A Core Connection,info@acoreconnection.com,+14077892673,https://www.acoreconnection.com/,Longwood,FL
Brightside Behavioral Health,info@bbhri.com,+14017733700,https://brightsidebehavioralhealth.com/,Cranston,RI
Brightside Behavioral Health,info@bbhri.com,+14017733700,https://brightsidebehavioralhealth.com/,Seekonk,MA
"Beacon Counseling Services, PLLC",info@beaconcounselingservices.net,+17019374695,https://www.beaconcounselingservices.net/,Bismarck,ND
Evolution Psychological Services,info@evolutionpsychservices.com,+15713670651,http://evolutionpsychservices.com/,Woodbridge,VA
Lifeline Behavioral Health - Mesa,info@lifelinepcs.com,+14806411165,https://lifelinepcs.com/,Mesa,AZ
Lifeline Behavioral Health - Avondale,info@lifelinepcs.com,+14806411165,https://lifelinepcs.com/,Avondale,AZ
Lifeline Behavioral Health - Scottsdale,info@lifelinepcs.com,+14806411165,https://lifelinepcs.com/,Phoenix,AZ
Lifeline Behavioral Health - Chandler,info@lifelinepcs.com,+14806411165,https://lifelinepcs.com/,Chandler,AZ
Lifeline Behavioral Health - Tempe,info@lifelinepcs.com,+14806411165,https://lifelinepcs.com/,Tempe,AZ
Lifeline Behavioral Health - Glendale,info@lifelinepcs.com,+14806411165,https://lifelinepcs.com/,Glendale,AZ
Chosen for Hope Counseling,snapdas@yahoo.com,+12105478090,https://www.chosen4hope.com/,San Antonio,TX
Allen's Family Counseling Center,info@afccchicago.com,+13129127008,https://allensfamilycounselingcenter.com/,Chicago,IL
Rooted Therapies,info@rootedtherapies.org,+19412161406,http://rootedtherapies.org/,North Port,FL
Shipowick-Smith Counseling LLC,jesi.lingo@example.com,+15096670679,http://shipowickcounseling.com/,Wenatchee,WA
Shipowick-Smith Counseling LLC,edgar.huerta@example.com,+15096670679,http://shipowickcounseling.com/,Wenatchee,WA
Shipowick-Smith Counseling LLC,kristen.white@example.com,+15096670679,http://shipowickcounseling.com/,Wenatchee,WA
Shipowick-Smith Counseling LLC,melissa.payne@example.com,+15096670679,http://shipowickcounseling.com/,Wenatchee,WA
Shipowick-Smith Counseling LLC,darla.daniels@example.com,+15096670679,http://shipowickcounseling.com/,Wenatchee,WA
Shipowick-Smith Counseling LLC,ashley.bauman@example.com,+15096670679,http://shipowickcounseling.com/,Wenatchee,WA
